zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,variableDataType,variableDataText,variableDataIsFresh,badgeInfo,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,info2String,info3String,brokerName,hasAdditionalAttributions,isFeaturedListing,list,relaxed,hasOpenHouse,openHouseStartDate,openHouseEndDate,openHouseDescription,info6String,Unnamed: 46
115423997,115423997,,https://photos.zillowstatic.com/fp/688dbfb9d9af6a37bb906165abc54821-p_e.jpg,true,https://www.zillow.com/homedetails/1053-Lutheran-Church-Rd-Bardstown-KY-40004/115423997_zpid/,FOR_SALE,House for sale,$,"$330,000",330000,"1053 Lutheran Church Rd, Bardstown, KY 40004",1053 Lutheran Church Rd,Bardstown,KY,40004,False,3,3,2054,37.855387,-85.531778,False,DAYS_ON,1 day on Zillow,,ForSale,For Sale (Broker),291700,false,False,False,False,,https://photos.zillowstatic.com/fp/44097c1919ccfd9c21615a22d2980637-zillow_web_48_23.jpg,Demaree & Hubbard,true,False,True,False,,,,,,,
2100098805,2100098805,,https://photos.zillowstatic.com/fp/705763a03eec3c6c6486a45c001c0898-p_e.jpg,true,https://www.zillow.com/homedetails/0-Old-Swanzey-Rd-Chesterfield-NH-03443/2100098805_zpid/,FOR_SALE,Active,$,"$99,900",99900,"0 Old Swanzey Rd, Chesterfield, NH 03443",0 Old Swanzey Rd,Chesterfield,NH,3443,False,,,,42.88115,-72.399085,False,DAYS_ON,36 days on Zillow,,ForSale,For Sale (Broker),,false,False,False,False,Listing provided by NEREN,,,false,False,True,False,,,,,,,
14543206,14543206,,https://photos.zillowstatic.com/fp/cfca2a8327bfb77f9e245699af67b04f-p_e.jpg,true,https://www.zillow.com/homedetails/1718-Woodcliff-Ct-NE-Atlanta-GA-30329/14543206_zpid/,FOR_SALE,Townhouse for sale,$,"$390,000",390000,"1718 Woodcliff Ct NE, Atlanta, GA 30329",1718 Woodcliff Ct NE,Atlanta,GA,30329,False,3,3,2154,33.832699,-84.327653,False,PRICE_REDUCTION,"$5,000 (Jun 17)",,,ForSale,For Sale (Broker),397900,False,False,False,false,,https://photos.zillowstatic.com/fp/d2c28114f36af4dea165c93003b4cd2e-zillow_web_48_23.jpg,"Opendoor Brokerage, LLC",True,False,True,false,,,,,,
72977167,72977167,,https://photos.zillowstatic.com/fp/d7405b0aff3133a2ca7a0a2782954ca7-p_e.jpg,true,https://www.zillow.com/homedetails/5-W-Salisbury-Dr-Wilmington-DE-19809/72977167_zpid/,FOR_SALE,House for sale,$,"$254,900",254900,"5 W Salisbury Dr, Wilmington, DE 19809",5 W Salisbury Dr,Wilmington,DE,19809,False,3,1,1025,39.754839,-75.50329,False,PRICE_REDUCTION,"$10,000 (Jun 18)",,ForSale,For Sale (Broker),255100,false,False,False,False,,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Keller Williams Real Estate - Newark,true,False,True,False,,,,,,,
17599151,17599151,,https://photos.zillowstatic.com/fp/1f8aaea8dcb5876c77cbd4d25049c273-p_e.jpg,true,https://www.zillow.com/homedetails/7471-Matterhorn-Ave-Cucamonga-CA-91730/17599151_zpid/,FOR_SALE,House for sale,$,"$648,700",648700,"7471 Matterhorn Ave, Cucamonga, CA 91730",7471 Matterhorn Ave,Cucamonga,CA,91730,False,4,2,1322,34.118249,-117.583907,True,3D_HOME,3D Tour,,,ForSale,For Sale (Broker),681500,False,True,False,false,,,,False,False,True,false,,,,,,
107827825,107827825,,https://photos.zillowstatic.com/fp/1e197b199e4abc9659badc18536e9ec8-p_e.jpg,true,https://www.zillow.com/homedetails/153-Black-Bear-Ln-Crimora-VA-24431/107827825_zpid/,FOR_SALE,House for sale,$,"$339,900",339900,"153 Black Bear Ln, Crimora, VA 24431",153 Black Bear Ln,Crimora,VA,24431,False,3,3,2026,38.148505,-78.811744,False,PRICE_REDUCTION,"$10,000 (Jun 24)",,,ForSale,For Sale (Broker),342400,False,False,False,false,Listing provided by CAARMLS,https://photos.zillowstatic.com/fp/f1decf996e1a308bb64f64b5052c494c-zillow_web_48_23.jpg,LONG & FOSTER REAL ESTATE INC FISHERSVILLE,True,False,True,false,,,,,,
2069972083,2069972083,,https://photos.zillowstatic.com/fp/33e51d718491e86687ceb2f8496d1d54-p_e.jpg,true,https://www.zillow.com/homedetails/354-Jim-Money-Rd-LOT-1-Biloxi-MS-39531/2069972083_zpid/,FOR_SALE,Multi-family home for sale,$,"$149,000",149000,"354 Jim Money Rd LOT 1, Biloxi, MS 39531",354 Jim Money Rd LOT 1,Biloxi,MS,39531,False,,,3600,30.406417,-88.96077,False,DAYS_ON,2 days on Zillow,,,ForSale,For Sale (Broker),,False,False,False,false,,https://photos.zillowstatic.com/fp/e0f49e377f6528b216f8f4e4c664d183-zillow_web_48_23.jpg,Keller Williams,True,False,True,false,,,,,Richard Reynolds,
52531107,52531107,,https://photos.zillowstatic.com/fp/9da10bac6510abaed6c44286e0f54012-p_e.jpg,true,https://www.zillow.com/homedetails/317-N-Elm-Ave-Union-City-OK-73090/52531107_zpid/,FOR_SALE,House for sale,$,"$75,000",75000,"317 N Elm Ave, Union City, OK 73090",317 N Elm Ave,Union City,OK,73090,False,2,1,925,35.394454,-97.940477,False,DAYS_ON,2 days on Zillow,,ForSale,For Sale (Broker),73800,false,False,False,False,,https://photos.zillowstatic.com/fp/3295e033b0f9ed3a14b327538b943f05-zillow_web_48_23.jpg,Cultivate Real Estate,true,False,True,False,,,,,,,
6870557,6870557,,https://photos.zillowstatic.com/fp/f6362324e5919e9c2b65a6c22d011e65-p_e.jpg,true,https://www.zillow.com/homedetails/1792-Walker-Dr-Carson-City-NV-89701/6870557_zpid/,FOR_SALE,New,$,"$495,000",495000,"1792 Walker Dr, Carson City, NV 89701",1792 Walker Dr,Carson City,NV,89701,False,3,3,1828,39.1779,-119.721725,False,DAYS_ON,2 days on Zillow,,ForSale,For Sale (Broker),506200,false,False,False,False,Listing provided by NNRMLS,https://photos.zillowstatic.com/fp/153140cf0e85008c0371dc64f1671ca1-zillow_web_48_23.jpg,eXp Realty,true,False,True,False,,,,,,,
220809988,220809988,,https://photos.zillowstatic.com/fp/4f75f10f72da2d4334a8ed95dd09174f-p_e.jpg,true,https://www.zillow.com/homedetails/4041-S-Cliff-Ave-Pahrump-NV-89048/220809988_zpid/,FOR_SALE,Lot / Land for sale,$,"$10,000",10000,"4041 S Cliff Ave, Pahrump, NV 89048",4041 S Cliff Ave,Pahrump,NV,89048,False,,,,36.160083,-115.910671,False,PRICE_REDUCTION,"$2,000 (Jun 5)",,,ForSale,For Sale (Broker),,False,False,False,false,Listing provided by GLVAR,https://photos.zillowstatic.com/fp/409bf159a29b37c0d98057377e46eed4-zillow_web_48_23.jpg,"Realty ONE Group, Inc",True,False,True,false,,,,,Penny S Rowley,
